Program/ Project Label,Program GEF_ID,Project GEF_ID,Projects In Common with the MFA portfolio,Projects In Common with the Biodiversity Portfolio,ProjectsIn Common with the Land Degradation portfolio,Agency,Lead agency,Secondary agency(ies),Region,Parent (Program) Geographic level,Country,List of participating countries,Focal Area,List of project's focal areas,Title,GEF replenishment phase,Type acronym,Status,Trust Fund acronym,Executing partner / agency,Type of executing partner / agency,Type acronym of parent (or empty if standalone),"Category (empty: standalone, parent, child)",GEF3 OP list,GEF4 SP list,GEF4 SP-ID list,GEF5 FA Objective list,Keyword ID list,Code of business plan allocation item,World Bank Trust Fund number,(Sum of all) Approved PPG(s),Project Preparation Grant (PPG),Project Development Facility block A (PDF-A),Project Development Facility block B (PDF-B),Project Development Facility block C (PDF-C),Pre-Investment Facility (PRIF),Agency fees paid separately for PPG,Agency fees paid separately for PDF-B,GEF Project Grant PIF stage,GEF project grant at CEO approve/endorse stage,GEF Project Grant CEO approve stage,GEF Project Grant CEO endorse stage,GEF Project Grant_FINAL,Agency Fee PIF stage,Agency Fee CEO approve stage,Agency Fee CEO endorse stage,Agency Fee_Final,Cofinance PIF stage,Cofinance CEO approve stage,Cofinance CEO endorse stage,Cofinance_FINAL,Date of receipt or first PMIS entry,PIF Clearance or PIF Approval Date,Expected date of entry into work program,Date of entry into work program,Date of project approval,Date of CEO approval (MSP / EA),Date of CEO endorsement (FSP),Date of dropping (before project approval),Date of cancelation (after project approval),Date of PIF rejection by CEO,Date of technical rejection by Program Manager,Date of rejection by CEO at CEO approve stage,Date of rejection by CEO at CEO endorse stage,Date of Parent / Program rejection by Council,Date of approval by Agency,Expected date of Grant signing,Actual date of Grant signing,Expected date of implementation start,Actual date of implementation start,Expected date of closure,Actual date of closure,Expected date of financial closure,Date of financial closure,Expected date of Internal Completion Report (ICR),Date of Internal Completion Report (ICR),Expected date of Parent endorsement by Council,Date of Parent endorsement by Council,Expected date of effectiveness,Date of effectiveness,Expected date of mid term review,Date of mid term review,PFD,PFD available in PMIS,PIR Status,MTRStatus,TTStatus,TEStatus,TERStatus
C9,3423,3952,Err:512,Err:512,3952,UNDP,UNDP,,AFR,,Algeria,,Multi Focal Area,M;B;L;,MENARID: Conservation of Globally Significant Biodiversity and Sustainable Use of Ecosystem Services in Algeria’s Cultural Parks ,GEF - 4,FP,Under Implementation,GET,Ministry of Culture    ,Government,PAN,Child,,BD-3;LD-1;,;3;15;,,,,,0 ,,,,,,,,"5,387,142 ","5,387,142 ",,"5,387,142 ","5,387,142 ","538,715 ",,"538,714 ","538,714 ","10,022,858 ",,"21,325,910 ","21,325,910 ",8-Apr-09,24-Apr-09,30-Jun-09,24-Jun-09,24-Jun-09,,12-Sep-11,,,,,,,,24-Oct-12,,,31-Jul-11,24-Oct-12,31-Jul-18,,,,,,,,,,28-Feb-16,,,,Submitted,Not Submitted Yet,Midterm TT Not Submitted Yet,Not Submitted Yet,Not completed yet
C10,3423,3989,Err:512,3989,Err:512,UNDP,UNDP,,AFR,,Morocco,,Biodiversity,B,MENARID: A Circular Economy Approach to AgrobiodiversityConservation in the Souss-Massa Drâa Region ofMorocco,GEF - 4,FP,Under Implementation,GET,Ministry of Agriculture,Government,PAS,Child,,BD-4;BD-5;,;4;5;,,,,,"80,000 ","80,000 ",,,,,"8,000 ",,"2,647,272 ","2,647,272 ",,"2,647,272 ","2,647,272 ","264,727 ",,"264,727 ","264,727 ","5,500,000 ",,"7,500,000 ","7,500,000 ",22-Apr-09,14-Jun-12,15-Jun-09,24-Jun-09,24-Jun-09,,19-Mar-14,,,,,,,,,,,30-Mar-12,17-Jun-14,30-Jun-19,,,,,,,,,,30-Aug-15,,,,N/A,N/A,N/A,N/A,
C11,3423,4035,Err:512,Err:512,4035,World Bank,World Bank,,AFR,,Tunisia,,Multi Focal Area,M;B;L;,MENARID: Ecotourism and Conservation of Desert Biodiversity,GEF - 4,FP,Under Implementation,GET,Minstry of Environment and Sustainable Development,Government,PAS,Child,,BD-1;BD-2;LD-1;,;1;2;15;,,,,,"200,000 ","200,000 ",,,,,"20,000 ",,"4,272,300 ","4,272,300 ",,"4,272,300 ","4,272,300 ","427,230 ",,"427,230 ","427,230 ","3,300,000 ",,"4,788,000 ","4,788,000 ",10-Aug-09,24-Aug-09,10-Nov-09,12-Nov-09,12-Nov-09,,9-Oct-12,,,,,,,,22-Jan-13,,,1-Jan-13,22-May-13,31-Jul-18,,,,,,,,,,30-Jun-16,1-Dec-15,,,Submitted,N/A,N/A,N/A,
D,3482,3482,Err:512,Err:512,Err:512,"ADB, IFAD, World Bank",ADB,"IFAD, World Bank",Asia,Country,China,,Multi Focal Area,M,PRC-GEF Partnership on Land Degradation in Dryland Ecosystems Program (PROGRAM),GEF - 4,FP,Council Approved,GET,"Central Program Coordination-Ministry Finance: Central Program Management, State Forestry Administration. Various Central and Provincial Government Technical and Financial Agencies (sub-project specific)",Government,PAN,Parent,-15-,,,,,,,"1,495,000 ",,,,,,,,"27,334,000 ","27,333,001 ",0 ,"27,333,001 ","27,333,001 ","2,661,900 ",0 ,"2,042,799 ","2,679,799 ","386,058,580 ",0 ,"379,286,700 ","379,286,700 ",26-Sep-07,22-Feb-08,,24-Apr-08,24-Apr-08,,,,,,,,,,,,,,,,,,,,,,24-Apr-08,,,,,submitted,No,N/A,N/A,N/A,N/A,N/A
D1,3482,956,956,Err:512,Err:512,ADB,ADB,,Asia,,China,,Multi Focal Area,M,PRC-GEF Partnership: Land Degradation in Dryland Ecosystems: Project I-Capacity Building to Combat Land Degradation,GEF - 3,FP,Project Completion,GET,Ministry of Finance (MOF),Government,PAN,Child,-12-,,,,,,,"350,000 ",,,"350,000 ",,,,,"7,700,000 ","7,700,000 ",,"7,700,000 ","7,700,000 ","637,000 ",,,"637,000 ","7,300,000 ",,"7,300,000 ","7,300,000 ",8-Mar-01,,1-Oct-02,15-Oct-02,15-Oct-02,,25-May-04,,,,,,,,28-Jun-04,,,,23-Jul-04,31-Dec-08,12-Mar-10,,,,,,,,,,,,,Submitted,N/A,N/A,Submitted,Submitted
D2,3482,2369,Err:512,Err:512,2369,IFAD,IFAD,,Asia,,China,,Multi Focal Area,M;B;L;,PRC-GEF Partnership: An IEM Approach to the Conservation of Biodiversity in Dryland Ecosystems - under the PRC-GEF Partnership on Land Degradation in Dryland Ecosystem Program,GEF - 4,FP,Under Implementation,GET,Ministry of Finance and Ministry of Agriculture of the People's Republic of China,Government,PAN,Child,-12-1-13-,BD-3;BD-4;LD-2;LD-3;,;3;4;16;17;,,,,,"350,000 ",,,"350,000 ",,,,,"4,545,000 ","4,545,000 ",,"4,545,000 ","4,545,000 ","454,500 ",,"454,500 ","454,500 ","25,023,580 ",,"25,023,700 ","25,023,700 ",3-Oct-03,12-Nov-07,1-Apr-08,24-Apr-08,24-Apr-08,,24-Feb-09,,,,,,,,17-Mar-09,,,30-Jun-09,15-Apr-11,15-Oct-16,,,,,,,,,,30-Nov-11,23-Jun-14,,,Submitted,Submitted,Submitted,N/A,
D3,3482,3483,Err:512,Err:512,3483,ADB,ADB,,Asia,,China,,Multi Focal Area,M;C;L;,PRC-GEF Partnership: Forestry and Ecological Restoration  in Three Northwest Provinces (formerly Silk Road Ecosystem Restoration Project),GEF - 4,FP,Under Implementation,GET,"State Forestry Administration; Provincial Governments of Xinjiang, Gansu, Shaanxi",Government,PAN,Child,-15-,LD-2;LD-3;LD-1;CC-6;,;16;17;15;14;,,,,,"335,000 ","335,000 ",,,,,,,"5,120,000 ","5,119,546 ",,"5,119,546 ","5,119,546 ","545,500 ",,"545,454 ","545,454 ","195,200,000 ",,"176,660,000 ","176,660,000 ",26-Sep-07,19-Aug-08,1-Nov-08,13-Nov-08,13-Nov-08,,3-Aug-10,,,,,,,,29-Mar-11,,,30-Oct-10,3-Sep-11,29-Sep-16,,,,,,,,,,3-Jul-15,,,,Submitted,N/A,N/A,N/A,
D4,3482,3484,Err:512,Err:512,3484,ADB,ADB,,Asia,,China,,Land Degradation,L,PRC-GEF Partnership: Capacity and Management Support for Combating Land Degradation in Dryland Ecosystems,GEF - 4,FP,Project Completion,GET,Ministry of Finance; State Forestry Administratioin,Government,PAN,Child,-15-,,,,,,,0 ,,,,,,,,"2,728,000 ","2,727,455 ",,"2,727,455 ","2,727,455 ","272,800 ",,"272,745 ","272,745 ","6,200,000 ",,"6,200,000 ","6,200,000 ",26-Sep-07,25-Feb-09,1-Jun-09,24-Jun-09,24-Jun-09,,14-Oct-09,,,,,,,,8-Dec-09,,,31-Jan-10,26-Jan-10,31-Oct-13,24-Jan-14,,,,,,,,,2-Mar-12,2-Mar-12,,,Submitted,Submitted,N/A,Submitted,Submitted
D5,3482,3608,Err:512,Err:512,3608,World Bank,World Bank,,Asia,,China,,Multi Focal Area,M;C;L;,PRC-GEF Partnership: Sustainable Development in Poor Rural Areas,GEF - 4,FP,Project Completion,GET,"State Council/Leading Group for Poverty Reduction, Provinces of Shaanxi, Henan; Chongqing",Government,PAN,Child,,CC-6;,;14;,,,,,"280,000 ","280,000 ",,,,,,,"4,265,000 ","4,265,000 ",,"4,265,000 ","4,265,000 ","454,500 ",,"454,500 ","454,500 ","143,400,000 ",,"154,900,000 ","154,900,000 ",22-Jan-08,4-Feb-08,1-Jun-08,28-Jul-08,28-Jul-08,,13-May-10,,,,,,,,25-Aug-10,,,14-Sep-10,25-Aug-10,31-Dec-15,31-Dec-15,,,,,,,,,15-Jun-13,,,,Submitted,N/A,N/A,N/A,
D6,3482,3611,Err:512,Err:512,3611,World Bank,World Bank,,Asia,,China,,Multi Focal Area,M;B;L;,PRC-GEF Partnership: Mainstreaming Biodiversity Protection within the Production Landscapes and Protected Areas of the Lake Aibi Basin,GEF - 4,FP,Project Completion,GET,Xinjiang Uyghur Autonomous Region (UAR) Government,Government,PAN,Child,,BD-4;LD-1;LD-2;LD-3;,;4;15;16;17;,,,,,"180,000 ","180,000 ",,,,,,,"2,976,000 ","2,976,000 ",,"2,976,000 ","2,976,000 ","297,600 ",,"315,600 ","315,600 ","8,935,000 ",,"9,203,000 ","9,203,000 ",22-Jan-08,23-Jun-08,1-Sep-08,23-Sep-08,23-Sep-08,,16-May-11,,,,,,,,,,,31-Jul-11,9-Sep-11,31-Dec-15,31-Dec-15,,,,,,,,,15-Oct-13,19-Dec-14,,,Submitted,N/A,Submitted,Submitted,
E,3647,3647,Err:512,Err:512,Err:512,"ADB, UNDP, FAO, World Bank",ADB,UNDP/ FAO/ World Bank,Asia,Regional,Regional,"Fiji, Micronesia, Indonesia, Malaysia, Papua New Guinea, Philippines, Palau, Solomon Islands, Timor Leste, Vanuatu",Multi Focal Area,M,CTI The Coral Triangle Initiative (PROGRAM),GEF - 4,FP,Council Approved,GET,Lead Government agencies in each country; Bilateral Development Assistance Agencies; Inter-governmental Agencies; and Nongovernmental Organizations (NGOs),Government,PAN,Parent,,,,,,,,"1,824,200 ",,,,,,,,"38,355,000 ","38,233,182 ","925,000 ","37,308,182 ","38,233,182 ","3,899,000 ","100,000 ","3,787,818 ","3,887,818 ","263,952,500 ","3,667,431 ","269,832,708 ","273,500,139 ",25-Jan-08,28-Feb-08,,24-Apr-08,24-Apr-08,,,,,,,,,,,,,,,,,,,,,,24-Apr-08,,,,,submitted,No,N/A,N/A,N/A,N/A,
E1,3647,3589,3589,Err:512,Err:512,ADB,ADB,,Asia,,Regional,"Indonesia, Malaysia, Philippines",Multi Focal Area,M;B;C;I;,CTI Coastal and Marine Resources Management in the Coral Triangle: Southeast Asia under Coral Triangle Initiative,GEF - 4,FP,Under Implementation,GET,All lead in-country Government agencies; Inter-governmental Agencies; and Nongovernmental Organization (NGOs).,Government,PAN,Child,,,,,,,,"500,000 ","500,000 ",,,,,,,"10,310,000 ","11,218,182 ",,"11,218,182 ","11,218,182 ","1,080,000 ",,"1,171,818 ","1,171,818 ","76,000,000 ",,"28,950,000 ","28,950,000 ",25-Jan-08,22-Feb-08,1-Apr-08,24-Apr-08,24-Apr-08,,7-Mar-11,,,,,,,,18-May-11,,,28-Feb-11,13-Aug-13,12-Aug-16,,,,,,,,,,30-Nov-15,,,,Submitted,N/A,N/A,N/A,
E2,3647,3859,Err:512,3859,Err:512,UNDP,UNDP,,Asia,,Philippines,,Biodiversity,B,CTI: Partnerships for Biodiversity Conservation: Mainstreaming in Local Agricultural Landscapes ,GEF - 4,FP,Under Implementation,GET," Protected Area and Wildlife Bureau (PAWB)- Department of Environment and Natural Resources (DENR), FFI, Haribon Foundation, PhilConserve, CI Philippines.",Government,PAN,Child,,BD-2;,;2;,,,,,"93,200 ","93,200 ",,,,,"9,320 ",,"4,500,000 ","4,500,000 ",,"4,500,000 ","4,500,000 ","450,000 ",,"450,000 ","450,000 ","9,100,000 ",,"12,522,061 ","12,522,061 ",,24-Feb-09,1-Jun-09,24-Jun-09,24-Jun-09,,25-Jun-10,,,,,,,,,,,30-Jun-10,20-Sep-10,31-May-16,,,,,,,,,,28-Feb-14,31-Dec-15,,,Submitted,Submitted,N/A,Not Submitted Yet,Not completed yet
E3,3647,3980,3980,Err:512,Err:512,ADB,ADB,,Asia,,Philippines,,Multi Focal Area,M;B;C;I;,CTI Integrated Natural Resources and Environmental Management Sector,GEF - 4,FP,Under Implementation,GET,Department of Environment and Natural Resources,Government,PAS,Child,,BD-4;BD-5;IW-2;CC-6;,;4;5;19;14;,,,,,"291,000 ","291,000 ",,,,,"29,100 ",,"3,530,000 ","2,500,000 ",,"2,500,000 ","2,500,000 ","353,000 ",,"250,000 ","250,000 ","102,000,000 ",,"151,630,000 ","151,630,000 ",17-Apr-09,28-Apr-09,30-Jun-09,24-Jun-09,24-Jun-09,,29-Apr-11,,,,,,,,3-Dec-12,,,30-Nov-11,9-Aug-13,30-Mar-20,,,,,,,,,,1-Jan-17,,,,Submitted,N/A,N/A,N/A,
E4,3647,5171,Err:512,5171,Err:512,ADB,ADB,,Asia,,Indonesia,,Biodiversity,B,"CTI: Coral Reef Rehabilitation and Management Program-Coral Triangle Initiative, Phase III (COREMAP-CTI III)",GEF - 5,FP,Under Implementation,GET,Ministry of Marine Affairs and Fisheries (MMAF),Government,PAN,Child,,,,BD-1; BD-1; BD-2; BD-2; ,,,,"200,000 ","200,000 ",,,,,"19,000 ",,"8,000,000 ","8,000,000 ",,"8,000,000 ","8,000,000 ","760,000 ",,"760,000 ","760,000 ","56,000,000 ",,"56,000,000 ","56,000,000 ",27-Sep-12,1-Nov-12,1-Jun-13,20-Jun-13,13-Dec-13,,19-Sep-13,,,,,,,,13-Dec-13,,,,24-Feb-14,30-Jun-19,,,,,,,,,,1-Jun-17,,,,Submitted,N/A,N/A,N/A,N/A
F,3661,3661,Err:512,Err:512,Err:512,UNDP,UNDP,,Asia,Country,India,,Biodiversity,B,IND-BD: GEF Coastal and Marine Program (IGCMP),GEF - 4,FP,Council Approved,GET,"MOEF, DOD,GEER",Government,PAN,Parent,,BD-2;,;2;,,,,,"100,000 ",,,,,,,,"9,461,930 ","9,461,930 ",0 ,"9,461,930 ","9,461,930 ","946,193 ",0 ,"946,193 ","946,193 ","27,900,000 ",0 ,"30,000,000 ","30,000,000 ",21-Jan-08,28-Apr-09,30-Jun-09,24-Jun-09,24-Jun-09,,,,,,,,,,,,,30-Jun-10,,30-Jun-12,,,,,,30-Jun-09,24-Jun-09,,,30-Jun-09,,submitted,Yes,N/A,N/A,N/A,N/A,N/A
F1,3661,3936,Err:512,3936,Err:512,UNDP,UNDP,,Asia,,India,,Biodiversity,B,IND-BD Mainstreaming Coastal and Marine Biodiversity Conservation into Production Sectors in the Godavari River Estuary in Andhra Pradesh State,GEF - 4,FP,Under Implementation,GET,"Ministry of Environment and Forest (MOEF); State Government of Andhra Pradesh; Government of India/Wildlife Wing; Environment, Forests, Science & Technology Dept; ",Government,PAN,Child,,BD-2;BD-4;,;2;4;,,,,,"100,000 ","100,000 ",,,,,"10,000 ",,"6,023,636 ","6,023,636 ",,"6,023,636 ","6,023,636 ","602,364 ",,"602,364 ","602,364 ","17,700,000 ",,"18,000,000 ","18,000,000 ",2-Apr-09,27-Apr-09,15-Jun-09,24-Jun-09,24-Jun-09,,21-Mar-11,,,,,,,,,,,30-Jun-11,8-Jun-11,30-Mar-16,N/A,,,,,,,,,30-Oct-12,30-May-15,,,Submitted,Submitted in 2015,Submitted in 2015,N/A,N/A
F2,3661,3941,Err:512,3941,Err:512,UNDP,UNDP,,Asia,,India,,Biodiversity,B,"IND-BD Mainstreaming Coastal and Marine Biodiversity  Conservation into Production Sectors in the Malvan Coast, Maharashtra State",GEF - 4,FP,Under Implementation,GET,"Union Ministry of Environment and Forest (MOEF), Maharashtra Department of Environment and Forests",Government,PAN,Child,,BD-2;BD-4;,;2;4;,,,,,0 ,,,,,,,,"3,438,294 ","3,438,294 ",,"3,438,294 ","3,438,294 ","343,829 ",,"343,829 ","343,829 ","10,200,000 ",,"12,000,000 ","12,000,000 ",2-Apr-09,13-Jul-09,1-Nov-09,12-Nov-09,12-Nov-09,,14-Jul-11,,,,,,,,27-Oct-11,,,31-Aug-11,26-Oct-11,31-May-16,N/A,,,,,,,,,31-Mar-14,30-Sep-14,,,Submitted,Submitted in 2015,Submitted in 2015,N/A,N/A
G,3782,3782,Err:512,Err:512,Err:512,"World Bank, UNDP, FAO, UNEP",World Bank,,AFR,Regional,Regional,"Central African Republic, Congo, Cameroon, Gabon, Equatorial Guinea, Congo DR",Multi Focal Area,M,"World Bank, UNDP, FAO, UNEP",GEF - 4,FP,Council Approved,GET,"World Bank, UNDP, UNEP, FAO, AFDB",Multilateral,PAN,Parent,,CC-6;,;14;,,,,,"1,590,700 ",,,,,,,,"46,301,132 ","46,300,888 ","2,624,090 ","43,676,798 ","46,300,888 ","4,634,113 ","262,409 ","4,367,680 ","4,630,089 ","164,517,750 ","7,400,200 ","215,509,911 ","222,910,111 ",10-Sep-08,17-Sep-08,,13-Nov-08,13-Nov-08,,,,,,,,,,,,,,,,,,,,,,13-Nov-08,,,,,submitted,Yes,N/A,N/A,N/A,N/A,
G1,3782,2906,Err:512,Err:512,Err:512,UNDP,UNDP,,AFR,,Regional,"Central African Republic, Congo, Cameroon, Gabon, Congo DR",Biodiversity,B,CBSP Sustainable Financing of Protected Area Systems in the Congo Basin,GEF - 4,FP,CEO Endorsed,GET,COMIFAC/WWF,Multilateral,PAN,Child,-3-,,,,,,,"340,000 ","300,000 ","40,000 ",,,,"30,000 ",,"8,181,818 ","8,181,818 ",,"8,181,818 ","8,181,818 ","822,182 ",,"818,182 ","818,182 ","50,600,000 ",,"26,397,000 ","26,397,000 ",30-Sep-05,24-Feb-09,1-Jun-09,24-Jun-09,24-Jun-09,,21-Nov-11,,,,,,,,,,,30-Nov-11,N/A,30-Nov-16,,,,,,,,,,30-May-14,,,,N/A,N/A,N/A,N/A,N/A
G2,3782,3750,Err:512,3750,Err:512,UNDP,UNDP,,AFR,,Regional,"Congo, Congo DR",Biodiversity,B,CBSP Catalyzing Sustainable Forest Management in the Lake Tele-Lake Tumba (LTLT) Transboundary Wetland Landscape,GEF - 4,FP,Under Implementation,GET,"Ministry of Forestry, Economy and Environment, Ministry of Tourism and Environment ( ROC) / Ministry of Environment, Nature Conservation, Tourism, Water & Forestry (DRC), WCS",Government,PAN,Child,,,,,,,,"100,000 ","100,000 ",,,,,"10,000 ",,"2,172,726 ","2,172,726 ",,"2,172,726 ","2,172,726 ","217,273 ",,"217,273 ","217,273 ","6,600,000 ",,"3,040,000 ","3,040,000 ",29-Aug-08,17-Sep-08,1-Nov-08,13-Nov-08,13-Nov-08,,13-May-10,,,,,,,,,,,30-Aug-10,21-Dec-12,31-Dec-16,,,,,,,,,,30-Aug-16,,,,Submitted,Not Submitted Yet,Midterm TT Not Submitted Yet,Not Submitted Yet,Not completed yet
G3,3782,3757,Err:512,Err:512,Err:512,UNDP,UNDP,,AFR,,Equatorial Guinea,,Biodiversity,B,CBSP – Strengthening the National System of protected areas in Equatorial Guinea for the effective conservation of representative ecosystems and globally significant biodiversity,GEF - 4,FP,Under Implementation,GET,UNDP,Multilateral,PAN,Child,,,,,,,,"50,000 ","50,000 ",,,,,"5,000 ",,"1,768,182 ","1,768,182 ",,"1,768,182 ","1,768,182 ","176,818 ",,"176,818 ","176,818 ","4,450,000 ",,"4,932,800 ","4,932,800 ",29-Aug-08,17-Sep-08,1-Nov-08,13-Nov-08,13-Nov-08,,6-Apr-10,,,,,,,,,,,30-Jun-10,23-Nov-10,17-Dec-17,,,,,,,,,,30-Jun-14,,,,Submitted,Not Submitted Yet,Midterm TT Not Submitted Yet,Not Submitted Yet,Not completed yet
G4,3782,3761,Err:512,3761,Err:512,UNDP,UNDP,,AFR,,Gabon,,Biodiversity,B,CBSP: Sustainable Management of the Mbe River Forested Watershed through the Development of a Payments for Ecosystem Services (PES) Mechanism,GEF - 4,MSP,Under Implementation,GET,Ministry of Environment and Nature Protection and Sustainable Development.,Government,PAN,Child,,BD-5;,;5;,,,,,"50,000 ","50,000 ",,,,,"5,000 ",,"859,091 ","859,090 ","859,090 ",,"859,090 ","85,909 ","85,909 ",,"85,909 ","2,950,000 ","1,980,000 ",,"1,980,000 ",2-Sep-08,18-Sep-08,,,18-Sep-08,23-Mar-11,,,,,,,,,,,,30-May-11,6-May-12,31-Dec-15,,,,,,,,,,30-May-13,,,,Submitted,Submitted,N/A,N/A,
G5,3782,3772,Err:512,3772,Err:512,World Bank,World Bank,,AFR,,Congo DR,,Biodiversity,B,CBSP Forest and Nature Conservation Project,GEF - 4,FP,Project Completion,GET,"ICCN, MECNT + NGOs",Government,PAN,Child,,,,,,,,0 ,,,,,,,,"6,000,000 ","6,000,000 ",,"6,000,000 ","6,000,000 ","600,000 ",,"600,000 ","600,000 ","62,000,000 ",,"79,000,000 ","79,000,000 ",9-Sep-08,17-Sep-08,1-Nov-08,13-Nov-08,13-Nov-08,,2-Mar-09,,,,,,,,2-Apr-09,,,1-Jun-09,9-Sep-09,30-Jun-15,30-Jun-15,,,,,,,,,31-Dec-12,,,,Submitted,Submitted,N/A,N/A,
G6,3782,3777,Err:512,3777,Err:512,FAO,FAO,,AFR,,Regional,"Central African Republic, Congo, Gabon, Congo DR",Biodiversity,B,CBSP Sustainable Management of the Wildlife and Bushmeat Sector in Central Africa,GEF - 4,FP,Under Implementation,GET,"Ministry of Water, Forests, Hunting and Fishing (CAR); Ministry of Environment, Nature and Tourism (DRC); Ministry of Water and Forests (Gabon); Ministry of Sustainable Development, Forestry and Environment (Republic of Congo); International Union for the",Government,PAN,Child,,BD-4;,;4;,,,,,"280,000 ","280,000 ",,,,,"28,000 ",,"4,245,452 ","4,245,211 ",,"4,245,211 ","4,245,211 ","424,545 ",,"424,521 ","424,521 ","6,000,000 ",,"7,929,700 ","7,929,700 ",10-Sep-08,21-Oct-08,1-Jan-09,27-Jan-09,27-Jan-09,,4-May-11,,,,,,,,13-Jun-11,,,30-Jun-11,1-Sep-12,31-Aug-17,,,,,,,,,,30-Sep-13,,,,Submitted,Submitted,Submitted,N/A,
G7,3782,3779,Err:512,Err:512,3779,World Bank,World Bank,,AFR,,Regional,"Central African Republic, Congo, Cameroon, Gabon, Equatorial Guinea, Congo DR",Multi Focal Area,M;C;L;,CBSP Enhancing Institutional Capacities on REDD issues for Sustainable Forest Management in the Congo Basin,GEF - 4,FP,Under Implementation,GET,"COMIFAC, Ministries in charge of environment and forests in the six countries.",Multilateral,PAN,Child,,CC-6;,;14;,,,,,"399,000 ","399,000 ",,,,,"39,900 ",,"13,000,000 ","13,000,000 ",,"13,000,000 ","13,000,000 ","1,300,000 ",,"1,300,000 ","1,300,000 ","13,180,000 ",,"60,300,000 ","60,300,000 ",9-Sep-08,15-Sep-08,1-Nov-08,13-Nov-08,13-Nov-08,,7-Jun-11,,,,,,,,14-Jul-11,,,1-Nov-11,30-Nov-11,31-Aug-16,,,,,,,,,,15-Dec-13,28-Jan-15,,,Submitted,N/A,N/A,N/A,
G8,3782,3821,Err:512,3821,Err:512,FAO,FAO,,AFR,,Cameroon,,Biodiversity,B,CBSP Sustainable Community Based Management and Conservation of Mangrove Ecosystems in Cameroon,GEF - 4,FP,Under Implementation,GET,"Ministry of Environment and Nature Protection (MINEP), Cameroon Wildlife Conservation Society (CWCS) and IUCN Cameroon Office",Government,PAN,Child,,BD-3;BD-4;,;3;4;,,,,,"85,000 ","85,000 ",,,,,"8,500 ",,"1,733,182 ","1,733,180 ",,"1,733,180 ","1,733,180 ","173,318 ",,"173,318 ","173,318 ","3,700,000 ",,"4,656,000 ","4,656,000 ",10-Oct-08,17-Apr-09,15-Jun-09,24-Jun-09,24-Jun-09,,2-Dec-11,,,,,,,,27-Dec-11,,,1-Nov-11,1-Aug-12,31-Jul-17,,,,,,,,,,1-Jun-14,,,,Submitted,N/A,N/A,N/A,
G9,3782,3822,Err:512,Err:512,3822,UNEP,UNEP,,AFR,,Regional,"Central African Republic, Congo, Cameroon, Gabon, Equatorial Guinea, Congo DR",Multi Focal Area,M;B;C;L;,CBSP - A Regional Focus on Sustainable Timber Management in the Congo Basin,GEF - 4,FP,Under Implementation,GET,"World resources institute (wri), Ministry of Tourism and Environment - Congo, Ministry of Water, Forestry, Hunting, Fishery and Environment- Central African Republic, Ministry of Fisheries and the Environment -Equatorial Guinea , Ministry of Environment-Eaux et Forets, Comifac  and other partners",NGO,PAN,Child,,BD-4;BD-5;,;4;5;,,,,,"100,000 ","100,000 ",,,,,"10,000 ",,"3,075,681 ","3,075,681 ",,"3,075,681 ","3,075,681 ","307,568 ",,"307,568 ","307,568 ","6,280,000 ",,"13,843,067 ","13,843,067 ",,24-Apr-09,30-Jun-10,8-Jun-10,8-Jun-10,,26-Jul-11,,,,,,,,11-Sep-11,,,30-Sep-11,19-Sep-11,1-Aug-15,,,,,,,,,,30-Nov-13,,,,Submitted,N/A,N/A,N/A,
G10,3782,3960,Err:512,Err:512,3960,World Bank,World Bank,,AFR,,Regional,"Central African Republic, Congo, Cameroon, Gabon, Equatorial Guinea, Congo DR",Multi Focal Area,M;L;M;,CBSP-Capacity Building for Regional Coordination of Sustainable Forest Management in the Congo Basin under the GEF Program for the Congo Basin,GEF - 4,MSP,Project Completion,GET,COMIFAC (Central African Forest Commission),Multilateral,PAN,Child,,BD-4;,;4;,,,,,"50,000 ","50,000 ",,,,,"5,000 ",,"815,000 ","815,000 ","815,000 ",,"815,000 ","81,500 ","81,500 ",,"81,500 ","1,107,750 ","3,026,000 ",,"3,026,000 ",10-Apr-09,8-Jul-09,,,8-Jul-09,27-May-11,,,,,,,,,11-Jul-11,,,30-Jun-11,2-Aug-11,30-Jun-14,31-Dec-14,,,,,,,,,,,,,Submitted,N/A,N/A,Submitted,
