"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","iba_distance","years_since_implementation","treatment","iba_statescore","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"1",2337.03722065877,7200.82004917129,438.547395370479,0.68957361015332,459.821122439707,0.521187901496887,0,0,14.906477,10.410168,106.630407348031,0,20.8882209797374,33.5496492531007,19.3745031085594,28.143352973996,0,1303.02369526,2.26080548472,0,1,0,0.774594269966908,0.774594269966908,0,0.774594269966908,2.91376830994959,5252,"GGW: Third Phase of the Community Action Program"
"5",1027.67856478566,156799.210103763,497.701529913816,0.278740337308003,5112.5086243827,0.617100655957494,270.640014648,0,19.654086,10.160168,11.7,0,2.525,34.7,16.8,27.85,0,884.967732914,7.01492620657,0,1,0,0.00254554194175104,0.00254554194175104,0,0.00254554194175104,-2.54154373068215,5252,"GGW: Third Phase of the Community Action Program"
"7",1171.14129294829,8262.26852928761,868.299562331708,0.262885555005246,414.643783431371,1.83701705932617,0,0,30.228961,36.493498,13.8409090981826,0,4.97196969939422,28.6727272729582,7.25454545408364,19.0030303027224,0,1346.360816,1.14117910674,0,1,3,0.132702774670257,0.132702774670257,22.6069123833655,0.132702774670257,2.91376830994959,5026,"MENA: Badia Ecosystem and Livelihoods Project (BELP)"
"17",1863.997124461,21370.0283927692,1936.40877552877,8.39229456612238,1076.64930847469,114.132342158196,0,0.39636286625,11.407774,38.410168,350.686817153673,2.39964490649623,92.2326675330138,18.8526632012782,14.8276853946222,16.4234743412676,0,1818.12550647,1.82337878986,0,1,0,0.153338037226334,0.153338037226334,0,0.153338037226334,-2.54154373068215,5220,"PSG: Sustainable Land Management Project 2"
"30",1891.98121506925,15994.4476098289,250.00405827749,3.68161078516795,1142.77524003604,70.1628123069746,171.100006104,68.1630285105,5.659125,8.410168,512.05,0,203.1625,28.5,26.05,27.3291666666667,0,2512.60767672,4.08749275887,0,1,0,0.195652531939297,0.195652531939297,0,0.195652531939297,-2.54154373068215,4907,"GGW: Nigeria Erosion and Watershed Management Project (NEWMAP)"
"37",1589.27178627088,1466.43958469374,342.30046599658,0.329586240756507,356.473925611493,10.4143896102905,0,0,13.656983,11.410168,141.65,0,25.0166666666667,33.9,19.6,28.275,0,1425.48718717,1.32435031261,0,1,0,0.807713155805619,0.807713155805619,0,0.807713155805619,2.91376830994959,5252,"GGW: Third Phase of the Community Action Program"
"38",1556.36139834494,1601.24079149482,312.772245934344,0.194339719234996,472.970848352154,21.5034132524848,0,0,13.573685,12.410168,102.7,0,17.9708333333333,33.9,19.75,28.5791666666667,0,1381.9726362,2.0768772153,0,1,0,0.762974445091744,0.762974445091744,0,0.762974445091744,2.91376830994959,5252,"GGW: Third Phase of the Community Action Program"
"44",1549.87904388658,63157.2626575491,396.046538379265,0.198001325592495,1620.3802743171,1.41314995288849,0,0,16.405803,5.410168,94.4351783067654,0,22.3611767968107,35.0498061274902,21.4498707516601,29.2476393212707,0,1224.98819421,5.75224484619,0,1,1,0.178799114753685,0.178799114753685,5.59286885383972,0.178799114753685,-2.54154373068215,5252,"GGW: Third Phase of the Community Action Program"
"51",2992.89652985006,4192.48504668882,509.691276209709,0.419665580703775,1253.2945638103,0.0250931400805712,0,0,20.403637,13.160168,2.64942901349089,0,0.520690586706057,34.1004894170078,15.4003262780052,27.0170609192563,0,913.709935452,8.18118962719,0,1,0,0.152812562883305,0.152812562883305,0,0.152812562883305,-2.54154373068215,5252,"GGW: Third Phase of the Community Action Program"
"53",3466.34614293525,61831.8306179596,1014.72353356728,4.29219179816521,1981.88826245737,0.617100639376832,270.809997559,0,19.723005,8.581658,17.1,0,4.08333333333333,33.2,16.2,26.6083333333333,0,1029.09328398,7.34178247832,0,1,0,0.190785060716597,0.190785060716597,0,0.190785060716597,-2.54154373068215,5252,"GGW: Third Phase of the Community Action Program"
"54",2347.45446308467,4052.3384343013,425.655457441866,0.71548831572048,448.580580460673,0.521187901496887,0,0,14.906477,10.660168,109.70339055336,0,21.9544638272341,33.6495907952842,19.4494738796511,28.2870664378606,0,1262.60075539,2.25916476596,0,1,0,0.797413607687207,0.797413607687207,0,0.797413607687207,2.91376830994959,5252,"GGW: Third Phase of the Community Action Program"
"58",1207.34718110912,15672.0774554615,356.241402543563,0.978072320508602,1219.52752526238,0.134254902601242,0,0,15.906036,13.410168,62.6890443912945,0,11.3564135607453,33.4249687207321,18.7254066304829,28.3396067927843,0,793.794781921,4.33385872192,0,1,0,0.456911318257971,0.456911318257971,0,0.456911318257971,-2.54154373068215,5252,"GGW: Third Phase of the Community Action Program"
"78",1245.01059016649,1864.43153395944,347.585592608682,0.750793548548491,89.3219739307742,33.0156082314109,0.709999978542,15.6920887141,8.941799,1.326838,396.540049709663,3.03649528646547,152.450110182067,28.4722006494992,23.4866302469955,25.8776605702896,0.252686040052,2835.7504241,2.31468722177,1,1,3,0.291906150471813,0.291906150471813,10.2772757447935,0.291906150471813,2.91376830994959,4709,"GGW: Integrated Disaster and Land Management (IDLM) Project"
"88",1839.72261314519,1568.72537747958,689.05899794155,0.195802356847066,328.72359076148,4.46820783615112,0,0,32.397341,38.111268,31.0529187491019,0,7.05935257905144,30.4972202389506,6.35013898805247,19.569269717743,2.52748595715,1317.51687909,0.362169625889,0,1,3,0.140265462762192,0.140265462762192,21.3880162723038,0.140265462762192,2.91376830994959,5026,"MENA: Badia Ecosystem and Livelihoods Project (BELP)"
"97",1193.07853807723,5236.24454173552,670.468997283989,1.21494535781915,888.652678588402,0.617100624570223,80.5899963379,0.000224842342513,18.971147,8.310168,25.5373876568397,0,5.34489925637625,33.7668226021861,17.5336452043723,27.4706519206139,0,1150.11340318,6.70624684782,0,1,0,0.48738819990548,0.48738819990548,0,0.48738819990548,-2.54154373068215,5252,"GGW: Third Phase of the Community Action Program"
"101",2432.52584784301,3418.74066665153,1244.76647231343,5.54237371104121,1732.75080784165,0.617100596427917,0,0.000330933427759,18.019435,8.689338,39.1,0,6.64166666666667,31.8,15.8,25.7166666666667,0,1258.67871372,5.68268381115,0,1,0,0.338485777349092,0.338485777349092,0,0.338485777349092,-2.54154373068215,5252,"GGW: Third Phase of the Community Action Program"
"110",2896.7097466829,3305.62002922161,467.357428603826,0.223456652459266,125.025650265402,39.6012274382794,0,0,14.024059,8.766558,100.3,0,21.3833333333333,34.3,20.6,28.7333333333333,0,1497.02609235,2.25137813413,0,1,0,0.849783980107046,0.849783980107046,0,0.849783980107046,2.91376830994959,5252,"GGW: Third Phase of the Community Action Program"
"118",1556.84563764999,7042.78682443854,889.621090184765,0.311476934690863,377.145899011793,1.83701705932617,0,0,30.222567,36.623928,14.7,0,5.25833333333333,28.7,7.2,18.9666666666667,0,1390.49418788,1.26430240736,0,1,3,0.132416741119459,0.132416741119459,22.6557456001244,0.132416741119459,2.91376830994959,5026,"MENA: Badia Ecosystem and Livelihoods Project (BELP)"
"123",1205.953292972,4338.4367415306,659.831730146358,0.180344526512099,419.625478748641,4.46820783615112,207.479995728,0,32.499862,37.876408,37.5771518128269,0,9.5475821753923,30.9087845924949,6.41810120855128,19.894081055155,0,1155.27376309,0.144837501712,0,1,3,0.326021068377722,0.326021068377722,9.20185929985436,0.326021068377722,2.91376830994959,5026,"MENA: Badia Ecosystem and Livelihoods Project (BELP)"
"124",2855.69967172961,2032.45598689102,371.966994965017,0.822586467992174,132.860368331882,14.9058920873414,1,12.8631217569,9.704023,2.590338,363.6,0,93.5916666666667,29,24.4,26.4916666666667,0.0337346057761878,2856.2401835,1.89179328648,0,1,3,0.806027962318593,0.806027962318593,3.72195524255797,0.806027962318593,2.91376830994959,5215,"GGW: Forests and Adjacent Lands Management Project"
"125",1179.04552066874,3466.26504604645,381.058764811441,0.831360149902257,172.099104577764,20.1642745775248,81.8499984741,13.274666095,10.236596,1.769088,262.2,0,80.95,30.9,25.2,27.5333333333333,0,2786.91886921,1.04852087197,0,1,3,0.858358111159147,0.858358111159147,3.49504473831875,0.858358111159147,2.91376830994959,5215,"GGW: Forests and Adjacent Lands Management Project"
"128",1420.93919099072,11437.1973622426,311.149350884754,0.733724713521326,747.629483537797,11.3318240626144,248.869995117,25.5110979713,8.616727,1.695658,274.1,0,94.55,29.5,24.7,26.8333333333333,0,2736.29540572,2.48595227054,0,1,3,0.648208766916211,0.648208766916211,4.62813857682333,0.648208766916211,2.91376830994959,5215,"GGW: Forests and Adjacent Lands Management Project"
"129",1657.58603257451,4281.52749788076,303.357710087257,0.67116594926891,353.42184169072,17.7961052074804,259.260009766,12.5770771041,10.443757,3.155938,301.872562775223,0,93.9810199340241,32.0325064400602,25.0333692852148,27.8774032790128,0,2829.41818795,1.84178132114,0,1,3,0.873828007779326,0.873828007779326,3.43316988388133,0.873828007779326,2.91376830994959,5215,"GGW: Forests and Adjacent Lands Management Project"
"132",2483.24061399393,2350.87698513282,461.53320244732,1.77746354139352,129.938891973056,20.9755375405167,2,10.7228615811,10.268217,1.592918,262.2,0,80.95,30.9,25.2,27.5333333333333,0,2761.94917149,0.986170174875,0,1,3,0.855977618208193,0.855977618208193,3.50476453611002,0.855977618208193,2.91376830994959,5215,"GGW: Forests and Adjacent Lands Management Project"
"133",2716.04002717699,3362.07834601874,317.406549870203,0.882586963190197,176.921202020743,12.5218234470421,35.3499984741,18.0485242204,8.748246,2.528818,263.9,0,90.4583333333333,29.6,24.7,26.975,0,2565.6712591,1.86661243942,0,1,3,0.735287976409401,0.735287976409401,4.08003407678413,0.735287976409401,2.91376830994959,5215,"GGW: Forests and Adjacent Lands Management Project"
"137",1884.47490202547,2166.41497774812,305.023598775878,0.831267251418766,107.067897870497,22.1203795515528,221.940002441,23.2831411312,8.575227,1.260168,284,0,105.875,30,25.3,27.2083333333333,0,2684.20001811,2.68550367524,1,1,3,0.277049902164933,0.277049902164933,10.8283741541047,0.277049902164933,2.91376830994959,4709,"GGW: Integrated Disaster and Land Management (IDLM) Project"
